名前,address_orig,住所,お店の場所,経緯度
トイザらス四日市,三重県四日市市泊小柳町４－５ イオンタウン四日市泊,三重県四日市市泊小柳町4-5,イオンタウン四日市泊,"136.6013649,34.9393289"
セガワールド久居,三重県津市久居明神町字風早２５３４－１,三重県津市久居明神町字風早2534-1,,"136.4616823,34.6848068"
ピアゴ上地,三重県伊勢市上地町字 川西３１１８番地１ ,三重県伊勢市上地町字 川西3118-1,,"136.6573706,34.5010207"
アピタ名張,三重県名張市下比奈知黒田３１００番地の１,三重県名張市下比奈知黒田3100-1,,"136.1252528,34.6292804"
モーリーファンタジー伊勢ララパーク,三重県伊勢市小木町曽弥５３８イオンタウン伊勢ララパーク２Ｆ,三重県伊勢市小木町曽弥538,イオンタウン伊勢ララパーク2F,"136.7225693,34.5065589"
モーリーファンタジー四日市尾平,三重県四日市市尾平町字天王川原１８０５ イオン３Ｆ,三重県四日市市尾平町字天王川原1805,イオン3F,"136.5911388,34.9772916"
モーリーファンタジー松阪,三重県松阪市船江町１３９２－２７ マーム３Ｆ,三重県松阪市船江町1392-27,マーム3F,"136.523581,34.5941277"
イオン四日市尾平,三重県四日市市尾平町字天王川原１８０５,三重県四日市市尾平町字天王川原1805,,"136.5914928,34.9774411"
イオン四日市北,三重県四日市市富州原町２－４０,三重県四日市市富州原町2-40,,"136.6574638,35.0076936"
アル・プラザ醍醐,,三重県多気郡明和町中村1223,,"135.81115799999998,34.950846"
セガワールド甲西,滋賀県湖南市夏見二ツ橋 ３５６－１,滋賀県湖南市夏見二ツ橋356-1,,"136.0971788,34.9948633"
スーパースポーツゼビオ,,滋賀県草津市新浜町300,,"135.9174759,34.9977269"
THE 3RD PLANET BiVi京都二条店,京都府京都市中京区西ノ京栂尾町１－６,京都府京都市中京区西ノ京栂尾町1-6,,"135.7412763,35.0103652"
大丸京都店,京都府京都市下京区四条通高倉西入立売西町 ７９番地,京都府京都市下京区四条通高倉西入立売西町79,,"135.7622005,35.0041982"
アピタ精華台,京都府相楽郡精華町精華台９丁目２番地４,京都府相楽郡精華町精華台9-2-4,,"135.7707551,34.7466757"
プラサカプコン京都,京都府京都市右京区西院追分町２５－１イオンモール京都ハナ３Ｆ,京都府京都市右京区西院追分町25-1,イオンモール京都ハナ3F,"135.7272023,34.9972951"
イトーヨーカドー六地蔵,京都府宇治市六地蔵奈良町６７－１,京都府宇治市六地蔵奈良町67-1,,"135.7980225,34.9343393"
モーリーファンタジー久御山,京都府久世郡久御山町森南大内１５６－１イオン２Ｆ,京都府久世郡久御山町森南大内156-1,イオン2F,"135.7466579,34.8933276"
モーリーファンタジー洛南,京都府京都市南区吉祥院御池町３１イオン２Ｆ,京都府京都市南区吉祥院御池町31,イオン2F,"135.7364307,34.9755328"
ビックカメラJR京都駅,京都府京都市下京区東塩小路町９２７トイズコーナー,京都府京都市下京区東塩小路町927,トイズコーナー,"135.7555938,34.9858917"
イオン洛南,京都府京都市南区吉祥院御池町３１,京都府京都市南区吉祥院御池町31,,"135.7368276,34.9755153"
京都ヨドバシ,京都府京都市下京区烏丸通り七条下ル 東塩小路町５９０－２,京都府京都市下京区烏丸通り七条下ル 東塩小路町590-2,,"135.7589792,34.9882052"
トイザらス青森,青森県青森市三好２－３－１１　ガーラタウン,青森県青森市三好2-3-11,ガーラタウン,"140.7018061,40.8333227"
スカロップ弘前店,青森県弘前市城東北３－１０－１　さくら野弘前店３Ｆ,青森県弘前市城東北3-10-1,さくら野弘前店3F,"140.4960915,40.6067997"
イトーヨーカドー弘前,青森県弘前市大字駅前３－２－１,青森県弘前市大字駅前3-2-1,,"140.4810199,40.5997658"
イトーヨーカドー五所川原,青森県五所川原市大字唐笠柳字藤巻５１７－１,青森県五所川原市大字唐笠柳字藤巻517-1,,"140.4537612,40.799293"
モーリーファンタジー下田,青森県上北郡おいらせ町中野平４０－１イオン２Ｆ,青森県上北郡おいらせ町中野平40-1,イオン2F,"141.4190943,40.6019702"
モーリーファンタジー十和田,青森県十和田市大字相坂字六日町山１６６番１/ＳｕＣ１Ｆ,青森県十和田市大字相坂字六日町山166-1,SuC1F,"141.25676230000002,40.6029939"
スカロップ川徳店,岩手県盛岡市菜園１－１０－１パルクアベニュー川徳６Ｆ,岩手県盛岡市菜園1-10-1,パルクアベニュー川徳6F,"141.1470233,39.7007993"
イトーヨーカドー花巻,岩手県花巻市下小舟渡１１８－１,岩手県花巻市下小舟渡118-1,,"141.1178266,39.3935195"
SOYU Game Field釜石店,岩手県釜石市港町二丁目１番１号イオンタウン釜石店３Ｆ,岩手県釜石市港町2-1-1,イオンタウン釜石店3F,"141.880625,39.2700525"
モーリーファンタジースーパーセンター一関,岩手県一関市狐禅寺字石ノ瀬１１番１ＳｕＣ１Ｆ,岩手県一関市狐禅寺字石ノ瀬11-1,SuC1F,"141.1537125,38.9396751"
モーリーファンタジー盛岡渋民,岩手県盛岡市玉山区渋民字鶴飼２０番地－１ＳｕＣ１Ｆ,岩手県盛岡市玉山区渋民字鶴飼20-1,SuC1F,"141.1728034,39.849967"
らん2 らんど盛岡南,岩手県盛岡市津志田西２丁目１７－５０盛岡南ショッピングセンターサンサ店１Ｆ,岩手県盛岡市津志田西2-17-50,盛岡南ショッピングセンターサンサ店1F,"141.1481932,39.6620018"
イオン江釣子,岩手県北上市北鬼柳１９－６８,岩手県北上市北鬼柳19-68,,"141.0935706,39.2932471"
イオン盛岡南,岩手県盛岡市本宮字稲荷１０－１,岩手県盛岡市本宮字稲荷10-1,,"141.1280583,39.6834146"
ヨークベニマル亘理,宮城県亘理郡亘理町 亘理町 字旧舘８,宮城県亘理郡亘理町 亘理町 字旧舘8,,"140.8526756,38.0331985"
西友ひたち野うしく,茨城県牛久市ひたち野東２２－１　,茨城県牛久市ひたち野東22-1,,"140.1600482,36.008986400000005"
JOYFUL－2ニューポートひたちなか,茨城県ひたちなか市新光町３４－１　,茨城県ひたちなか市新光町34-1,,"140.5856887,36.4070387"
JOYFUL－2守谷,茨城県守谷市松ヶ丘３－８　,茨城県守谷市松ヶ丘3-8,,"139.9877938,35.9374511"
セガワールド日立,茨城県日立市田尻町３－２６－１,茨城県日立市田尻町3-26-1,,"140.6698797,36.6264011"
AGスクエア石岡,茨城県石岡市東大橋中峯 １９７６－１,茨城県石岡市東大橋中峯1976-1,,"140.3034538,36.1986798"
ジャンボリー牛堀SC店,茨城県潮来市永山沼田７７７ / 牛堀ショッピングセンター店内　プレビプレイランドコーナー　ジャンボリー,茨城県潮来市永山沼田777,牛堀ショッピングセンター店内 プレビプレイランドコーナー ジャンボリー,"140.5141438,35.9644661"
こころっこJ'S新利根SC店,茨城県稲敷市角崎１６７８番地　　新利根ショッピングセンター内　プレビプレイランドコーナー　こころっこＪ’ｓ,茨城県稲敷市角崎1678,新利根ショッピングセンター内 プレビプレイランドコーナー こころっこJ's,"140.286658,35.9059886"
ユーズランド水戸内原店,茨城県水戸市中原町字西 １３５番地 イオンモール水戸内原２Ｆ,茨城県水戸市中原町字西135,イオンモール水戸内原2F,"140.3585183,36.3741357"
アピタ石下,茨城県常総市本石下４４２－１　,茨城県常総市本石下442-1,,"139.975574,36.1202451"
アピタ守谷,茨城県守谷市久保ヶ丘２－１－１　,茨城県守谷市久保ヶ丘2-1-1,,"139.975037,35.9678457"
アピナ下館店,茨城県筑西市玉戸１０１２－３,茨城県筑西市玉戸1012-3,,"139.9457107,36.2954342"
モーリーファンタジーつくば,茨城県つくば市稲岡６６－１イオン３Ｆ,茨城県つくば市稲岡66-1,イオン3F,"140.1327338,36.0347726"
モーリーファンタジー下妻,茨城県下妻市堀籠９７２－１ / イオン２Ｆ,茨城県下妻市堀籠972-1,イオン2F,"139.9904091,36.1895099"
モーリーファンタジー水戸内原,茨城県水戸市中原町字西１３５番地イオン３Ｆ,茨城県水戸市中原町字西135,イオン3F,"140.3596555,36.3749131"
モーリーファンタジー土浦,茨城県土浦市上高津３６７番イオン３Ｆ,茨城県土浦市上高津367,イオン3F,"140.1823839,36.079456"
モーリーファンタジー東海,茨城県那珂郡東海村舟石川駅東四丁目１番１号イオン２Ｆ,茨城県那珂郡東海村舟石川駅東4-1-1,イオン2F,"140.5670329,36.4631489"
イオン水戸内原,茨城県水戸市中原町１３５,茨城県水戸市中原町135,,"140.3589217,36.3746492"
イオン東海,茨城県那珂郡東海村舟石川駅東４－１－１,茨城県那珂郡東海村舟石川駅東4-1-1,,"140.5666299,36.4634353"
イオン古河,茨城県古河市旭町１－２－１７,茨城県古河市旭町1-2-17,,"139.7197293,36.1972818"
トイセルタウン おもちゃのまち本店,栃木県下都賀郡壬生町おもちゃのまち１－２－２０,栃木県下都賀郡壬生町おもちゃのまち1-2-20,,"139.8364044,36.4635368"
ヨークベニマル西那須野,栃木県那須塩原市西大和１－８,栃木県那須塩原市西大和1-8,,"139.9716723,36.8858026"
セガ今市,栃木県日光市芹沼１４４８－１,栃木県日光市芹沼1448-1,,"139.7101155,36.7411422"
てくもぴあ ゆうらく工房店,栃木県宇都宮市インターパーク４－１－３ インターパークショッピングビレッジ,栃木県宇都宮市インタ-パ-ク4-1-3,インターパークショッピングビレッジ,"139.9069145,36.4947275"
福田屋百貨店  インターパーク店,栃木県宇都宮市インターパーク６－１－１２Ｆ,栃木県宇都宮市インタ-パ-ク6-1-12F,,"139.90670760000003,36.4908329"
あぐり～ず小山店,栃木県小山市中央町３－７－１,栃木県小山市中央町3-7-1,,"139.8052013,36.3125497"
モーリーファンタジーさくら,栃木県さくら市桜野１５５１ ザビッグ１Ｆ,栃木県さくら市桜野1551,ザビッグ1F,"139.9797524,36.6893907"
モーリーファンタジー今市,栃木県日光市豊田字若林７９－１ イオン２Ｆ,栃木県日光市豊田字若林79-1,イオン2F,"139.7035493,36.7305419"
モーリーファンタジー真岡,栃木県真岡市台町２６６８ザビッグ１Ｆ,栃木県真岡市台町2668,ザビッグ1F,"140.0015966,36.4322923"
らんらんらんど足利,栃木県足利市朝倉町２－２１－１６ ヨークタウン足利店１Ｆ,栃木県足利市朝倉町2-21-16,ヨークタウン足利店1F,"139.4452351,36.3164522"
イオン栃木,栃木県栃木市箱森町３７－９,栃木県栃木市箱森町37-9,,"139.7240738,36.3951433"
テクモピアロックダム,栃木県宇都宮市インターパーク６－１－１FKDショピングモールインターパーク店２階,栃木県宇都宮市インタ-パ-ク6-1,1FKDショピングモールインターパーク店2階,"139.9065225,36.49053320000001"
セガワールド沼田,群馬県沼田市下久屋町１１００－１,群馬県沼田市下久屋町1100-1,,"139.0780691,36.6567799"
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ,群馬県高崎市棟高町1400,イオンモール高崎2F,"139.0068453,36.3901742"
アピタ高崎,群馬県高崎市矢中町字渕ノ内６６８－１,群馬県高崎市矢中町字渕ノ内668-1,,"139.0544336,36.3098155"
アピナ前橋店,群馬県前橋市野中町３９０,群馬県前橋市野中町390,,"139.1146202,36.3770132"
モーリーファンタジー高崎,群馬県高崎市棟高町１４００番地イオン３Ｆ,群馬県高崎市棟高町1400,イオン3F,"139.0069472,36.3897337"
らんらんらんど倉賀野,群馬県高崎市倉賀野町４６９１－１ ミスターマックス倉賀野店１Ｆ,群馬県高崎市倉賀野町4691-1,ミスターマックス倉賀野店1F,"139.0562053,36.3008293"
ペリカン大川,福岡県大川市大字 上巻字野口 ４３０－１/ゆめタウン大川内２Ｆ,福岡県大川市大字 上巻字野口430-1,ゆめタウン大川内2F,"130.3879809,33.202788"
トイザらス大牟田,福岡県大牟田市旭町２-２８－１,福岡県大牟田市旭町2-28-1,,"130.4537568,33.0368515"
イオンスーパーセンター志摩,福岡県糸島市志摩津和崎２９−１,福岡県糸島市志摩津和崎29-1,,"130.1865891,33.5804652"
イオン福岡東,福岡県糟屋郡志免町大字 御手洗字 高原 ６,福岡県糟屋郡志免町大字 御手洗字 高原6,,"130.4532213,33.6082372"
イオン穂波,福岡県飯塚市枝国長浦６６６－４８,福岡県飯塚市枝国長浦666-48,,"130.6737076,33.6370967"
イオン福津,福岡県福津市７９３（福間駅東地区１００街区１画地）,福岡県福津市793,(福間駅東地区100街区1画地),"130.4947339,33.7544023"
スーパーセンター大木,福岡県三潴郡大木町大字蛭池１２００,福岡県三潴郡大木町大字蛭池1200,,"130.4481416,33.2206203"
イオン小郡,福岡県小郡市大保字 弓場 １１０,福岡県小郡市大保字 弓場110,,"130.5641373,33.4090503"
イオン福岡,福岡県糟屋郡粕屋町大字酒殿字老ノ木１９２−１,福岡県糟屋郡粕屋町大字酒殿字老ノ木192-1,,"130.4805336,33.5969635"
タイトーステーション リバーウォーク店,福岡県北九州市小倉北区室町 １ー１－１,福岡県北九州市小倉北区室町1-1-1,,"130.8752968,33.8858703"
タイトーステーション 博多パピヨンプラザ店,福岡県福岡市博多区千代１－２－１７,福岡県福岡市博多区千代1-2-17,,"130.4198708,33.6026788"
タイトーFステーション 大牟田店,福岡県大牟田市旭町２－２８－１,福岡県大牟田市旭町2-28-1,,"130.4537085,33.0369504"
モーリーファンタジー岡垣,福岡県遠賀郡岡垣町大字黒山３３８－１/ＳｕＣ１Ｆ,福岡県遠賀郡岡垣町大字黒山338-1,SuC1F,"130.6312099,33.8625712"
モーリーファンタジー大木,福岡県三潴郡大木町蛭池１２００番地ＳｕＣ１Ｆ,福岡県三潴郡大木町蛭池1200,SuC1F,"130.4484084,33.2202529"
モーリーファンタジー福岡,福岡県糟屋郡粕屋町大字酒殿字老ノ木１９２－１/イオン２Ｆ,福岡県糟屋郡粕屋町大字酒殿字老ノ木192-1,イオン2F,"130.4808233,33.5967133"
モーリーファンタジー福岡伊都,福岡県福岡市西区徳永１１３－１イオンモール３Ｆ,福岡県福岡市西区徳永113-1,イオンモール3F,"130.2578002,33.5774146"
らんらんらんど筑後,福岡県筑後市大字上北島字井原口１２５９－１/トライアル筑後店１Ｆ,福岡県筑後市大字上北島字井原口1259-1,トライアル筑後店1F,"130.49372430000003,33.2037754"
ビックカメラ天神,福岡県福岡市中央区天神２丁目４－５トイズコーナー,福岡県福岡市中央区天神2-4-5,トイズコーナー,"130.3985614,33.5875619"
コジマ×ビックカメラ小倉店,福岡県北九州市小倉南区上葛原２－１８－１トイズコーナー,福岡県北九州市小倉南区上葛原2-18-1,トイズコーナー,"130.9094258,33.8376721"
ミスターマックス新宮,福岡県糟屋郡新宮町大字上府８９８,福岡県糟屋郡新宮町大字上府898,,"130.4548091,33.712456800000005"
ミスターマックス筑紫野,福岡県筑紫野市原田８３６－２０,福岡県筑紫野市原田836-20,,"130.5381173,33.4424846"
ミスターマックス春日,福岡県春日市星見ヶ丘４－７,福岡県春日市星見ヶ丘4-7,,"130.4562124,33.505767"
ミスターマックス大牟田,福岡県大牟田市馬渡町１－１,福岡県大牟田市馬渡町1-1,,"130.4663564,33.0144528"
イオン唐津,佐賀県唐津市鏡字立神４６７１,佐賀県唐津市鏡字立神4671,,"130.0125525,33.4369206"
イオンスーパーセンター佐賀,佐賀県佐賀市東与賀町大字下古賀字一本杉８７－１,佐賀県佐賀市東与賀町大字下古賀字一本杉87-1,,"130.3082464,33.2225589"
イオン江北,佐賀県杵島郡江北町大字山口三本松二１２２３,佐賀県杵島郡江北町大字山口三本松二1223,,"130.1626239,33.2164905"
アミパラ佐賀店,佐賀県佐賀市巨勢町大字牛島７３０モラージュ佐賀南館１Ｆ,佐賀県佐賀市巨勢町大字牛島730,モラージュ佐賀南館1F,"130.3188505,33.2523767"
モーリーファンタジー佐賀,佐賀県佐賀市東与賀町大字下古賀字一本杉８７番地１ / ＳｕＣ１Ｆ,佐賀県佐賀市東与賀町大字下古賀字一本杉87-1,SuC1F,"130.3082571,33.2224691"
モーリーファンタジー唐津,佐賀県唐津市鏡字立神４６７１イオン２Ｆ,佐賀県唐津市鏡字立神4671,イオン2F,"130.012413,33.4369161"
らんらんらんど長崎千歳,長崎県長崎市千歳町５番１号ダイエー千歳店３Ｆ,長崎県長崎市千歳町5-1,ダイエー千歳店3F,"129.861882,32.789866800000006"
トイザらス平塚,神奈川県平塚市代官町３３－１ＯＳＣ湘南シティ１Ｆ,神奈川県平塚市代官町33-1,OSC湘南シティ1F,"139.3590254,35.3288634"
西友二俣川,神奈川県横浜市旭区二俣川２－５２－１,神奈川県横浜市旭区二俣川2-52-1,,"139.5335645,35.4615029"
ダイエー向ヶ丘,神奈川県川崎市多摩区登戸２７８９,神奈川県川崎市多摩区登戸2789,,"139.5666818,35.6149047"
ダイエー港南台,神奈川県横浜市港南区港南台３－１－２,神奈川県横浜市港南区港南台3-1-2,,"139.5773055,35.3758387"
ダイエー横須賀,神奈川県横須賀市本町２－１－１２,神奈川県横須賀市本町2-1-12,,"139.662419,35.282832"
ダイエー金沢八景,神奈川県横浜市金沢区泥亀１－２７－１,神奈川県横浜市金沢区泥亀1-27-1,,"139.6224542,35.333861"
ライフ鶴見,神奈川県横浜市鶴見区北寺尾２－１９,神奈川県横浜市鶴見区北寺尾2-19,,"139.6649809,35.5153327"
セガ小田原ダイナシティ,神奈川県小田原市中里２９６－１ ダイナシティイーストモールイトーヨーカ堂３Ｆ,神奈川県小田原市中里296-1,ダイナシティイーストモールイトーヨーカ堂3F,"139.1885283,35.2816394"
CLUBSEGA新杉田,神奈川県横浜市磯子区杉田１－１－１らびすた新杉田２Ｆ,神奈川県横浜市磯子区杉田1-1-1,らびすた新杉田2F,"139.61889090000003,35.3860737"
CLUBSEGA港北,神奈川県横浜市都筑区中川中央２－７－１港北ＭＩＮＡＭＯ３Ｆ,神奈川県横浜市都筑区中川中央2-7-1,港北MINAMO3F,"139.5755403,35.5505126"
ヨドバシカメラ横浜,神奈川県横浜市西区北幸１－２－７６Ｆ,神奈川県横浜市西区北幸1-2-76F,,"139.6199795,35.4678034"
ヨドバシカメラ川崎ルフロン,神奈川県川崎市川崎区日進町１－１１４Ｆ,神奈川県川崎市川崎区日進町1-114F,,"139.6966268,35.5295268"
ヨドバシカメラ上大岡,神奈川県横浜市南区上大岡西１－６－１京急百貨店８階,神奈川県横浜市南区上大岡西1-6-1,京急百貨店8階,"139.5965309,35.4094315"
ハローズガーデン海老名店,神奈川県海老名市中央２－４－１イオン海老名店２階,神奈川県海老名市中央2-4-1,イオン海老名店2階,"139.3930927,35.450634"
モラモラ東神奈川店,神奈川県横浜市神奈川区富家町１イオン東神奈川店４階,神奈川県横浜市神奈川区富家町1,イオン東神奈川店4階,"139.6333417,35.4801588"
ハローズガーデン本牧店,神奈川県横浜市中区小港町２－１００－４イトーヨーカドー本牧店２階,神奈川県横浜市中区小港町2-100-4,イトーヨーカドー本牧店2階,"139.6649271,35.430499"
ハローズガーデン天王町店,神奈川県横浜市保土ケ谷区川辺町３ イオン天王町店２階,神奈川県横浜市保土ケ谷区川辺町3,イオン天王町店2階,"139.5999759,35.4581106"
エブリデイFUNハウス こころっこ橋本,神奈川県相模原市緑区大山町１－２２アリオ橋本店内２階,神奈川県相模原市緑区大山町1-22,アリオ橋本店内2階,"139.3500582,35.591021"
こころっこ川崎店,神奈川県川崎市川崎区中瀬３－２０ホームズ川崎店内２Ｆプレビプレイランドコーナーこころっこ,神奈川県川崎市川崎区中瀬3-20,ホームズ川崎店内2Fプレビプレイランドコーナーこころっこ,"139.7330136,35.5377161"
こころっこ長津田店,神奈川県横浜市緑区長津田みなみ台４－６－１スーパービバホーム長津田内２階プレビプレイランドコーナー,神奈川県横浜市緑区長津田みなみ台4-6-1,スーパービバホーム長津田内2階プレビプレイランドコーナー,"139.5012323,35.5202295"
そごう横浜,神奈川県横浜市西区高島２－１８－１そごう横浜店８Ｆ,神奈川県横浜市西区高島2-18-1,そごう横浜店8F,"139.6252618,35.4656357"
ピアゴ大雄山,神奈川県南足柄市関本５６９番地,神奈川県南足柄市関本569,,"139.102474,35.3194236"
ピアゴ座間,神奈川県座間市入谷一丁目４１６番地の２,神奈川県座間市入谷1-416-2,,"139.39453840000002,35.4830225"
アピタ戸塚,神奈川県横浜市戸塚区上倉田町７６９－１,神奈川県横浜市戸塚区上倉田町769-1,,"139.5373982,35.3991877"
プラサカプコン横須賀,神奈川県横須賀市若松町２－３０モアーズシティ４Ｆ,神奈川県横須賀市若松町2-30,モアーズシティ4F,"139.6700954,35.2783375"
プラサカプコン磯子,神奈川県横浜市磯子区磯子１－１－１マリコム磯子ＳＣ２Ｆ,神奈川県横浜市磯子区磯子1-1-1,マリコム磯子SC2F,"139.6262043,35.4134262"
タイトーステーション 小田原シティーモールクレッセ店,神奈川県小田原市前川１２０小田原シティモールクレッセ内２Ｆ,神奈川県小田原市前川120,小田原シティモールクレッセ内2F,"139.1938346,35.2822335"
イトーヨーカドー上永谷,神奈川県横浜市港南区丸山台１－１２,神奈川県横浜市港南区丸山台1-12,,"139.5722271,35.4006591"
イトーヨーカドー小田原,神奈川県小田原市中里２９６－１,神奈川県小田原市中里296-1,,"139.1887965,35.2817576"
モーリーファンタジーつきみ野3F,神奈川県大和市つきみ野町１－６－１イオン３Ｆ,神奈川県大和市つきみ野町1-6-1,イオン3F,"139.4576057,35.5030009"
モーリーファンタジー茅ヶ崎中央,神奈川県茅ヶ崎市茅ケ崎３丁目５番１６号イオン３Ｆ,神奈川県茅ヶ崎市茅ケ崎3-5-16,イオン3F,"139.4026203,35.3359947"
